site,tree_id,time_date,direction,replicate,rna,dna
MD,1448,2022-08-03T10:20:00Z,East,5,4065,4165
MD,1448,2022-08-03T10:20:00Z,East,Control,4066,4166
MD,1448,2022-08-03T10:20:00Z,South,1,4054,4154
MD,1448,2022-08-03T10:20:00Z,South,2,4055,4155
MD,1448,2022-08-03T10:20:00Z,South,3,4056,4156
MD,1448,2022-08-03T10:20:00Z,South,4,4057,4157
MD,1448,2022-08-03T10:20:00Z,South,5,4058,4158
MD,1448,2022-08-03T10:20:00Z,South,Control,4059,4159
MD,1448,2022-08-03T10:20:00Z,West,1,4073,4173
MD,1448,2022-08-03T10:20:00Z,West,2,4074,4174
MD,1448,2022-08-03T10:20:00Z,West,3,4075,4175
MD,1448,2022-08-03T10:20:00Z,West,4,4076,4176
MD,1448,2022-08-03T10:20:00Z,West,5,4077,4177
MD,1448,2022-08-03T10:20:00Z,West,Control,4078,4178
MD,1496,2022-08-03T12:49:59Z,North,1,4253,4353
MD,1496,2022-08-03T12:49:59Z,North,2,4254,4354
MD,1496,2022-08-03T12:49:59Z,North,3,4255,4355
MD,1496,2022-08-03T12:49:59Z,North,4,4256,4356
MD,1496,2022-08-03T12:49:59Z,North,5,4257,4357
MD,1496,2022-08-03T12:49:59Z,North,Control,4258,4358
MD,1496,2022-08-03T12:49:59Z,East,1,4247,4347
MD,1496,2022-08-03T12:49:59Z,East,2,4248,4348
MD,1496,2022-08-03T12:49:59Z,East,3,4249,4349
MD,1496,2022-08-03T12:49:59Z,East,4,4251,4351
MD,1496,2022-08-03T12:49:59Z,East,Control,4252,4352
MD,1496,2022-08-03T12:49:59Z,South,1,4241,4341
MD,1496,2022-08-03T12:49:59Z,South,2,4242,4342
MD,1496,2022-08-03T12:49:59Z,South,3,4243,4343
MD,1496,2022-08-03T12:49:59Z,South,4,4244,4344
MD,1496,2022-08-03T12:49:59Z,South,5,4245,4345
MD,1496,2022-08-03T12:49:59Z,South,Control,4246,4346
MD,1496,2022-08-03T12:49:59Z,West,1,4259,4359
MD,1496,2022-08-03T12:49:59Z,West,2,4261,4361
MD,1496,2022-08-03T12:49:59Z,West,3,4262,4362
MD,1496,2022-08-03T12:49:59Z,West,4,4263,4363
MD,1496,2022-08-03T12:49:59Z,West,5,4264,4364
MD,1496,2022-08-03T12:49:59Z,West,Control,4265,4365
MD,1411,2022-08-03T11:19:59Z,North,1,4227,4327
MD,1411,2022-08-03T11:19:59Z,North,2,4228,4328
MD,1411,2022-08-03T11:19:59Z,North,3,4229,4329
MD,1411,2022-08-03T11:19:59Z,North,4,4231,4331
MD,1411,2022-08-03T11:19:59Z,North,5,4232,4332
MD,1411,2022-08-03T11:19:59Z,North,Control,4233,4333
MD,1411,2022-08-03T11:19:59Z,East,1,4222,4322
MD,1411,2022-08-03T11:19:59Z,East,2,4223,4323
MD,1411,2022-08-03T11:19:59Z,East,3,4224,4324
MD,1411,2022-08-03T11:19:59Z,East,4,4225,4325
MD,1411,2022-08-03T11:19:59Z,East,Control,4226,4326
MD,1411,2022-08-03T11:19:59Z,South,1,4215,4315
MD,1411,2022-08-03T11:19:59Z,South,2,4216,4316
MD,1411,2022-08-03T11:19:59Z,South,3,4217,4317
MD,1411,2022-08-03T11:19:59Z,South,4,4218,4318
